RX Time,Latitude,Longitude
2018-02-04T16:18:42+00:00',51.0958362,4.1329538
'2017-12-22T18:17:48+00:00',51.0121241,3.7136215
'2017-11-23T06:54:42+00:00',51.0119971,3.7140576
'2018-01-31T00:10:29+00:00',51.2613134,4.1500031
'2017-12-28T13:02:14+00:00',51.012057,3.7136391
'2018-02-05T04:15:02+00:00',51.2612726,4.1500729
'2017-12-03T15:43:16+00:00',51.0955886,4.1332177
'2017-12-17T12:15:15+00:00',51.0955304,4.1337843
'2018-02-03T23:07:59+00:00',51.095626,4.1330726
'2017-12-13T18:01:54+00:00',51.0957444,4.1330715
'2018-01-14T03:45:02+00:00',51.0121651,3.7137507
'2017-12-31T18:17:51+00:00',51.0949127,4.1303255
'2017-12-27T22:41:31+00:00',51.012142,3.713563
'2017-12-26T11:12:41+00:00',51.0957977,4.1330841
'2017-12-11T22:23:39+00:00',51.2613518,4.1501106
'2018-01-19T20:19:49+00:00',51.2613252,4.1499975
'2018-02-03T10:43:37+00:00',51.2568346,4.1507578
'2018-01-02T22:14:10+00:00',51.2615605,4.150143
'2018-01-03T19:05:20+00:00',51.2612405,4.1500887
'2017-11-28T03:38:37+00:00',51.0129375,3.715055
'2017-12-28T21:32:25+00:00',51.0120615,3.7137693
'2017-11-28T19:59:17+00:00',51.0119702,3.7137593
'2017-12-04T03:33:10+00:00',51.0124209,3.7141181
'2017-12-03T21:22:55+00:00',51.01208,3.7137871
'2018-01-12T09:07:44+00:00',51.0228674,4.0975691
'2018-01-25T18:55:28+00:00',51.2613151,4.1500177
'2017-12-12T14:41:00+00:00',51.0956639,4.1331064
'2017-11-26T22:07:35+00:00',51.0957153,4.1333199
'2017-12-27T06:41:16+00:00',51.0120777,3.7137539
'2017-12-01T15:21:20+00:00',51.0119935,3.7138356
'2017-12-29T03:20:02+00:00',51.2613145,4.150099
'2018-02-03T11:23:37+00:00',51.2569656,4.1866347
'2017-12-11T02:49:50+00:00',51.0958127,4.1331765
'2018-01-23T19:58:00+00:00',51.1110293,4.1770289
'2017-12-10T20:18:26+00:00',51.0121092,3.7136537
'2017-12-26T19:33:25+00:00',51.0956622,4.1333808
'2017-12-27T13:18:02+00:00',51.2570812,4.1987005
'2018-01-27T15:01:43+00:00',51.0957718,4.13302
'2017-12-27T22:34:19+00:00',51.0958298,4.1330484
'2017-12-30T15:56:43+00:00',51.0955702,4.1330325
'2017-12-23T05:14:12+00:00',51.261428,4.1497091
'2018-01-20T00:14:37+00:00',51.0955942,4.1332833
'2018-01-22T05:21:54+00:00',51.2613111,4.1500286
'2017-12-29T11:25:41+00:00',51.0956583,4.1332141
'2017-11-27T18:08:14+00:00',51.0958231,4.1330804
'2018-01-29T19:13:25+00:00',51.0958609,4.1330201
'2018-01-12T17:23:49+00:00',51.0120877,3.713797
'2017-12-27T00:13:22+00:00',51.0958119,4.1330533
'2017-12-14T04:31:00+00:00',51.0120591,3.7140425
'2017-12-13T16:32:05+00:00',51.0118219,3.7064512
'2018-01-13T01:14:03+00:00',51.0121232,3.7136986
'2018-01-18T19:58:54+00:00',51.2550917,4.1823084
'2018-01-24T00:23:59+00:00',51.2612991,4.1500425
'2017-12-16T02:57:41+00:00',51.2612407,4.1501187
'2017-12-01T10:01:03+00:00',51.0120701,3.7137663
'2017-12-07T23:45:58+00:00',51.0121735,3.7137247
'2017-12-03T15:52:47+00:00',51.0122744,3.7136714
'2017-11-29T17:30:05+00:00',51.0120854,3.7138548
'2017-12-31T20:57:55+00:00',51.0950008,4.1302203
'2017-12-21T04:02:34+00:00',51.0956443,4.1334412
'2017-12-29T11:33:05+00:00',51.0121035,3.7137074
'2018-01-02T23:29:35+00:00',51.0957525,4.1330562
'2018-01-12T10:27:55+00:00',51.0227628,4.0976949
'2018-01-01T19:38:00+00:00',51.0127884,3.7137858
'2018-01-30T23:04:34+00:00',51.0956667,4.1331492
'2017-11-24T19:35:51+00:00',51.0120709,3.7137964
'2017-12-19T22:05:27+00:00',51.0120394,3.7140152
'2017-12-22T14:07:39+00:00',51.012231,3.7138009
'2017-12-02T00:01:59+00:00',51.095686,4.1330965
'2017-11-30T05:40:36+00:00',51.0116783,3.7145762
'2017-12-05T23:58:07+00:00',51.2613773,4.1499867
'2017-12-28T04:14:58+00:00',51.0957693,4.1329149
'2018-01-31T22:31:05+00:00',51.261302,4.1499128
'2017-11-21T15:22:43+00:00',51.0122792,3.7086756
'2017-12-03T04:53:04+00:00',51.0955575,4.1334834
'2017-12-11T21:40:30+00:00',51.0958035,4.1329671
'2017-12-22T11:19:36+00:00',51.0957564,4.1331164
'2017-12-18T00:23:58+00:00',51.0120299,3.7136387
'2018-01-12T21:18:15+00:00',51.0957951,4.1330124
'2017-11-30T03:30:01+00:00',51.09573,4.1331071
'2017-11-25T18:36:46+00:00',51.0120611,3.713686
'2017-12-03T11:03:15+00:00',51.0957802,4.1329943
'2017-12-18T23:30:03+00:00',51.2612889,4.1500177
'2018-01-01T21:03:21+00:00',51.2568871,4.1862839
'2018-01-16T11:27:45+00:00',51.0119189,3.7137993
'2017-12-11T03:42:42+00:00',51.2613081,4.1500351
'2017-12-19T15:55:23+00:00',51.0120082,3.7139191
'2017-12-25T05:51:49+00:00',51.0957017,4.1331614
'2018-01-04T12:00:50+00:00',51.1437699,4.1751351
'2017-12-19T20:57:16+00:00',51.0957429,4.1330674
'2018-01-04T04:15:21+00:00',51.2613481,4.1499209
'2017-11-29T23:40:02+00:00',51.0121943,3.7137777
'2017-12-19T23:10:52+00:00',51.2612881,4.1501545
'2017-11-24T20:55:56+00:00',51.0120959,3.7135499
'2017-12-02T12:22:25+00:00',51.1007272,4.1406926
'2018-01-07T23:54:00+00:00',51.0956111,4.133354
'2018-01-05T14:28:10+00:00',51.0120293,3.7138446
'2017-12-29T10:45:32+00:00',51.0957835,4.1329627
'2017-12-24T04:08:46+00:00',51.012451,3.7143951
'2017-11-22T15:44:18+00:00',51.012081,3.7138846
'2018-01-08T15:10:51+00:00',51.0121365,3.7137066
'2017-11-29T08:39:41+00:00',51.0117664,3.7087462
'2017-12-22T15:19:47+00:00',51.0956594,4.1333484
'2018-01-28T19:48:09+00:00',51.2613301,4.1500772
'2017-12-21T23:39:35+00:00',51.0957935,4.1330595
'2017-12-20T04:37:53+00:00',51.0954563,4.1339925
